"Airport Name","City","Country","three-digit code","four_digit","l1","l2"
"Finsterwalde/Schacksdorf Airport","Soest","Germany","","EDUS",51.607498,13.743611
"Hildesheim Airport","Hildesheim","Germany","","EDVM",52.18138885,9.946389198
"Leer-Papenburg Airport","Leer","Germany","","EDWF",53.27194214,7.44166708
"Rendsburg-Schachtholm Airport","Rendsburg","Germany","","EDXR",54.22000122,9.599444389
"Ämari Air Base","Armari Air Force Base","Estonia","","EEEI",59.26029968,24.20849991
"Eura Airport","Eura","Finland","","EFEU",61.11610031,22.20140076
"Hameenkyro Airport","Hameenkyro","Finland","","EFHM",61.68970108,23.07369995
"Hanko Airport","Hanko","Finland","","EFHN",59.84889984,23.08359909
"Kiikala Airport","Kikala","Finland","","EFIK",60.46250153,23.65250015
"Immola Airport","Immola","Finland","","EFIM",61.24919891,28.90369987
"Kitee Airport","Kitee","Finland","","EFIT",62.1661,30.073601
"Kauhajoki Airport","Kauhajoki","Finland","","EFKJ",62.46250153,22.39310074
"Kemijarvi Airport","Kemijarvi","Finland","","EFKM",66.712898,27.156799
"Lahti Vesivehmaa Airport","Vesivehmaa","Finland","","EFLA",61.144199,25.693501
"Menkijarvi Airport","Menkijarvi","Finland","","EFME",62.94670105,23.51889992
"Nummela Airport","Nummela","Finland","","EFNU",60.33390045,24.29640007
"Piikajarvi Airport","Piikajarvi","Finland","","EFPI",61.24560165,22.19339943
"Pudasjärvi Airport","Pudasjarvi","Finland","","EFPU",65.40219879,26.94689941
"Pyhäsalmi Airport","Pyhasalmi","Finland","","EFPY",63.73189926,25.92630005
"Raahe Pattijoki Airport","Pattijoki","Finland","","EFRH",64.68810272,24.69580078
"Rantasalmi Airport","Rantasalmi","Finland","","EFRN",62.06549835,28.35650063
"Rayskala Airport","Rayskala","Finland","","EFRY",60.74470139,24.10779953
"Selanpaa Airport","Selanpaa","Finland","","EFSE",61.06240082,26.7989006
"Teisko Airport","Teisko","Finland","","EFTS",61.7733,24.027
"Ylivieska Airfield","Ylivieska-raudaskyla","Finland","","EFYL",64.0547222,24.7252778
"Leicester Airport","Leicester","United Kingdom","","EGBG",52.60779953,-1.031939983
"Wolverhampton Halfpenny Green Airport","Halfpenny Green","United Kingdom","","EGBO",52.51750183,-2.259439945
"Cotswold Airport","Pailton","United Kingdom","","EGBP",51.668095,-2.05694
"Turweston Airport","Turweston","United Kingdom","","EGBT",52.04079819,-1.095559955
"Wellesbourne Mountford Airport","Wellesbourne","United Kingdom","","EGBW",52.19219971,-1.614439964
"Manchester Woodford Airport","Woodfort","United Kingdom","","EGCD",53.3381,-2.14889
"Royal Marines Base Chivenor Airport","Chivenor","United Kingdom","","EGDC",51.08720016,-4.15034008
"MoD Boscombe Down Airport","Boscombe Down","United Kingdom","","EGDM",51.15219879,-1.747410059
"RNAS Culdrose","Culdrose","United Kingdom","","EGDR",50.08610153,-5.255710125
"MOD St. Athan","St. Athan","United Kingdom","","EGDX",51.40480042,-3.435750008
"Haverfordwest Airport","Haverfordwest","United Kingdom","","EGFE",51.83309937,-4.961110115
"Chalgrove Airport","Chalsgrove","United Kingdom","","EGLJ",51.67610168,-1.080829978
"Brough Airport","Brough","United Kingdom","","EGNB",53.7197,-0.566333
"Retford Gamston Airport","Repton","United Kingdom","","EGNE",53.2806015,-0.9513890147
"Warton Airport","Warton","United Kingdom","","EGNO",53.74509811,-2.883059978
"Llanbedr Airport","Llanbedr","United Kingdom","","EGOD",52.81169891,-4.123579979
"RAF Ternhill","Ternhill","United Kingdom","","EGOE",52.87120056,-2.533560038
"RAF Shawbury","Shawbury","United Kingdom","","EGOS",52.7981987,-2.668040037
"RAF Woodvale","Woodvale","United Kingdom","","EGOW",53.58160019,-3.055520058
"Peterborough Business Airport","Peterborough","United Kingdom","","EGSF",52.4681015,-0.2511110008
"North Weald Airport","North Weald","United Kingdom","","EGSX",51.72169876,0.1541669965
"Sheffield City Heliport","Fowlmere","United Kingdom","","EGSY",53.394299,-1.38849
"Cranfield Airport","Cranfield","United Kingdom","","EGTC",52.07220078,-0.6166669726
"RAF Benson","Benson","United Kingdom","","EGUB",51.61640167,-1.095829964
"RAF Lakenheath","Lakenheath","United Kingdom","","EGUL",52.40930176,0.5609999895
"RAF Wattisham","Wattisham","United Kingdom","","EGUW",52.12730026,0.956264019
"RAF Wyton","Wyton","United Kingdom","","EGUY",52.35720062,-0.107832998
"DCAE Cosford Air Base","Cosford","United Kingdom","","EGWC",52.639999,-2.30558
"RAF Dishforth","Dishforth","United Kingdom","","EGXD",54.1371994,-1.420250058
"Leeming Airport","Leeming","United Kingdom","","EGXE",54.2924,-1.5354
"Leeds East Airport","Church Fenton","United Kingdom","","EGXG",53.834301,-1.1955
"RAF Cottesmore","Cottesmore","United Kingdom","","EGXJ",52.735699,-0.648769
"RAF Scampton","Scampton","United Kingdom","","EGXP",53.30780029,-0.5508329868
"RAF Wittering","Wittering","United Kingdom","","EGXT",52.61259842,-0.4764530063
"RAF Topcliffe","Topcliffe","United Kingdom","","EGXZ",54.20550156,-1.382089973
"RAF Cranwell","Cranwell","United Kingdom","","EGYD",53.03030014,-0.4832420051
"RAF Barkston Heath","Barkston Heath","United Kingdom","","EGYE",52.96220016,-0.5616250038
"Budel Airport","Weert","Netherlands","","EHBD",51.25529861,5.601389885
"Deelen Air Base","Deelen","Netherlands","","EHDL",52.0606,5.87306
"Drachten Airport","Drachten","Netherlands","","EHDR",53.11920166,6.129720211
"Gilze Rijen Air Base","Gilze-rijen","Netherlands","","EHGR",51.56740189,4.931829929
"Casement Air Base","Casement","Ireland","","EIME",53.30170059,-6.451330185
"Grønholt Hillerød Airport","Gronholt","Denmark","","EKGH",55.94139862,12.38220024
"Læsø Airport","Laeso","Denmark","","EKLS",57.27719879,11.00010014
"Lolland Falster Maribo Airport","Maribo","Denmark","","EKMB",54.699299,11.4401
"Kruså-Padborg Airport","Krusa-padborg","Denmark","","EKPB",54.87030029,9.279009819
"Skive Airport","Skive","Denmark","","EKSV",56.55020142,9.172980309
"Kolding Vamdrup Airport","Kolding","Denmark","","EKVD",55.43629837,9.330920219
"Vesthimmerlands Flyveplads","Vesthimmerland","Denmark","","EKVH",56.846901,9.45861
"Bømoen Airport","Voss","Norway","","ENBM",60.63890076,6.50150013
"Geilo Airport Dagali","Geilo","Norway","","ENDI",60.41730118,8.518349648
"Kjeller Airport","Kjeller","Norway","","ENKJ",59.96929932,11.03610039
"Babice Airport","Warsaw","Poland","","EPBC",52.26850128,20.9109993
"Muchowiec Airport","Katowice","Poland","","EPKM",50.23809814,19.03420067
"Mielec Airport","Mielec","Poland","","EPML",50.32229996,21.46209908
"Swidwin Military Air Base","Shapaja","Poland","","EPSN",53.79059982,15.82629967
"Malmen Air Base","Linkoeping","Sweden","","ESCF",58.40230179,15.52569962
"Bråvalla Air Base","Norrkoeping","Sweden","","ESCK",58.61090088,16.10359955
"Uppsala Airport","Uppsala","Sweden","","ESCM",59.89730072,17.58860016
"Råda Air Base","Rada","Sweden","","ESFR",58.49810028,13.05319977
"Falköping Airport","Falkoping","Sweden","","ESGK",58.1697998,13.58780003
"Karlsborg Air Base","Karlsborg","Sweden","","ESIA",58.51380157,14.50710011
"Såtenäs Air Base","Satenas","Sweden","","ESIB",58.42639923,12.71440029
"Barkarby Airport","Stockholm","Sweden","","ESKB",59.41447436,17.8821373
"Arvika Airport","Arvika","Sweden","","ESKV",59.67589951,12.63939953
"Emmaboda Airfield","Emmaboda","Sweden","","ESMA",56.610802,15.6048
"Feringe Airport","Ljungby","Sweden","","ESMG",56.95029831,13.92169952
"Anderstorp Airport","Anderstorp","Sweden","","ESMP",57.2641983,13.59939957
"Hagshult Airport","Hagshult","Sweden","","ESMV",57.29219818,14.13720036
"Hallviken Airport","Hallviken","Sweden","","ESNA",63.73830032,15.45829964
"Hedlanda Airport","Hede","Sweden","","ESNC",62.40890121,13.74720001
"Jokkmokk Airport","Jokkmokk","Sweden","","ESNJ",66.49620056,20.14719963
"Optand Airport","Optand","Sweden","","ESNM",63.12860107,14.80280018
"Piteå Airport","Pitea","Sweden","","ESNP",65.39830017,21.26079941
"Orsa Airport","Orsa","Sweden","","ESNR",61.18999863,14.71259975
"Sättna Airport","Sattna","Sweden","","ESNT",62.4814,17.002899
"Vidsel Air Base","Vidsel","Sweden","","ESPE",65.87529755,20.14990044
"Arboga Airport","Arboga","Sweden","","ESQO",59.38660049,15.92409992
"Eskilstuna Airport","Eskilstuna","Sweden","","ESSU",59.35110092,16.70840073
"Kalixfors Airport","Kalixfors","Sweden","","ESUK",67.76480103,20.25720024
"Bückeburg Air Base","Brueckeburg","Germany","","ETHB",52.2785,9.08217
"Rheine Bentlage Air Base","Rheine-brentlange","Germany","","ETHE",52.291199,7.387
"Fritzlar Airport","Fritzlar","Germany","","ETHF",51.1146,9.286
"Laupheim Air Base","Laupheim","Germany","","ETHL",48.220299,9.91002
"Mendig Airport","Mendig","Germany","","ETHM",50.36600113,7.315330029
"Niederstetten Army Air Base","Niederstetten","Germany","","ETHN",49.391945,9.958889
"Roth Airport","Roth","Germany","","ETHR",49.21749878,11.1001997
"Fassberg Air Base","Fassberg","Germany","","ETHS",52.919399,10.185827
"Grafenwohr Army Air Field","Grafenwoehr","Germany","","ETIC",49.69869995,11.94019985
"Hohenfels Army Air Field","Hohenfels","Germany","","ETIH",49.2181015,11.83609962
"Kitzingen Army Air Field","Kitzingen","Germany","","ETIN",49.74309921,10.20059967
"Nordholz Naval Airbase","Nordholz","Germany","","ETMN",53.7677002,8.658499718
"Diepholz Air Base","Diepholz","Germany","","ETND",52.585556,8.342222
"Hohn Airport","Hohn","Germany","","ETNH",54.31219864,9.538169861
"Jever Air Base","Jever","Germany","","ETNJ",53.533501,7.88867
"Nörvenich Air Base","Noervenich","Germany","","ETNN",50.8312,6.65817
"Schleswig Air Base","Schleswig","Germany","","ETNS",54.459301,9.51633
"Wittmundhafen Airport","Wittmundhafen","Germany","","ETNT",53.54779816,7.667329788
"Wunstorf Air Base","Wunstorf","Germany","","ETNW",52.457298,9.42717
"Vilseck Army Air Field","Vilseck","Germany","","ETOI",49.63359833,11.76720047
"Coleman Army Air Field","Coleman","Germany","","ETOR",49.56359863,8.46339035
"Wiesbaden Army Airfield","Wiesbaden","Germany","","ETOU",50.04980087,8.325400352
"Landsberg Lech Air Base","Landsberg","Germany","","ETSA",48.070599,10.906
"Büchel Air Base","Buechel","Germany","","ETSB",50.17380142,7.063330173
"Erding Airport","Erding","Germany","","ETSE",48.32229996,11.94869995
"Holzdorf Air Base","Holzdorf","Germany","","ETSH",51.767799,13.1677
"Lechfeld Airport","Lechfeld","Germany","","ETSL",48.1855011,10.86120033
"Neuburg AFB","Neuburg","Germany","","ETSN",48.710999,11.2115
"Brakpan Airport","Brakpan","South Africa","","FABB",-26.23859978,28.30179977
"Bethlehem Airport","Bethlehem","South Africa","","FABM",-28.24839973,28.33609962
"Hendrik Potgieter Airport","Bothaville","South Africa","","FABO",-27.36680031,26.62919998
"Calvinia Airport","Calvinia","South Africa","","FACV",-31.50029945,19.72590065
"Ermelo Airport","Ermelo","South Africa","","FAEO",-26.49559975,29.97979927
"Ficksburg Sentraoes Airport","Ficksburg","South Africa","","FAFB",-28.82309914,27.90889931
"Graaff Reinet Airport","Graaff Reinet","South Africa","","FAGR",-32.1935997,24.54140091
"Grahamstown Airport","Grahamstown","South Africa","","FAGT",-33.28469849,26.49810028
"Greytown Airport","Greytown","South Africa","","FAGY",-29.12199974,30.58670044
"Harmony Airport","Harmony","South Africa","","FAHA",-28.07869911,26.86120033
"Harrismith Airport","Harrismith","South Africa","","FAHR",-28.23509979,29.10619926
"Gariep Dam Airport","Hendrik Verwoerddam","South Africa","","FAHV",-30.56220055,25.52829933
"P C Pelser Airport","Klerksdorp","South Africa","","FAKD",-26.87109947,26.71800041
"Krugersdorp Airport","Krugersdorp","South Africa","","FAKR",-26.08082592,27.72591496
"Kroonstad Airport","Kroonstad","South Africa","","FAKS",-27.66060066,27.31579971
"Lichtenburg Airport","Lichtenburg","South Africa","","FALI",-26.17569923,26.18460083
"Makhado Air Force Base Airport","Lambertsbaai","South Africa","","FALM",-23.15990067,29.69650078
"Langebaanweg Airport","Langebaanweg","South Africa","","FALW",-32.96889877,18.1602993
"Middelburg Airport","Middelburg","South Africa","","FAMB",-25.68479919,29.44020081
"Marble Hall Airport","Marble Hall","South Africa","","FAMI",-24.9890995,29.28310013
"Majuba Power Station Airport","Majuba Power Station","South Africa","","FAMJ",-27.07929993,29.7784996
"Riverside Airport","Malalane","South Africa","","FAMN",-25.43000031,31.57670021
"Mkuze Airport","Mkuze","South Africa","","FAMU",-27.62610054,32.04430008
"Nylstroom Airfield","Nylstroom","South Africa","","FANY",-24.68610001,28.43490028
"Overberg Airport","Overberg","South Africa","","FAOB",-34.55490112,20.2507
"Plettenberg Bay Airport","Plettenberg Bay","South Africa","","FAPG",-34.08816017,23.32872343
"Pietersburg Municipal Airport","Polokwane","South Africa","","FAPI",-23.92609978,29.4843998
"Port St Johns Airport","Port Saint Johns","South Africa","","FAPJ",-31.60589981,29.51980019
"Potchefstroom Airport","Potchefstroom","South Africa","","FAPS",-26.67099953,27.08189964
"Parys Airport","Parys","South Africa","","FAPY",-26.88929939,27.5034008
"Rustenburg Airport","Rustenburg","South Africa","","FARG",-25.64430046,27.27109909
"Secunda Airport","Secunda","South Africa","","FASC",-26.52409935,29.17009926
"Saldanha /Vredenburg Airport","Saldanha","South Africa","","FASD",-32.96409988,17.96929932
"Springs Airfield","Springs","South Africa","","FASI",-26.24940047,28.39827156
"Swartkop Air Force Base","Swartkop","South Africa","","FASK",-25.80970001,28.16460037
"Hendrik Swellengrebel Airport","Swellendam","South Africa","","FASX",-34.0481987,20.47459984
"Tommys Field Airport","Tommy's Field","South Africa","","FATF",-28.26000023,22.9932003
"New Tempe Airport","Bloemfontein","South Africa","","FATP",-29.03289986,26.1576004
"Tutuka Power Station Airport","Tutuka","South Africa","","FATT",-26.77659988,29.33880043
"Vredendal Airport","Vredendal","South Africa","","FAVR",-31.64100075,18.5447998
"Vereeniging Airport","Vereeniging","South Africa","","FAVV",-26.56640053,27.96080017
"Witbank Airport","Witbank","South Africa","","FAWI",-25.83230019,29.19199944
"Waterkloof Air Force Base","Waterkloof","South Africa","","FAWK",-25.82999992,28.22249985
"Ysterplaat Air Force Base","Ysterplaat","South Africa","","FAYP",-33.90019989,18.49830055
"Zeerust Airport","Zeerust","South Africa","","FAZR",-25.59900093,26.04229927
"Diego Garcia Naval Support Facility","Diego Garcia Island","British Indian Ocean Territory","","FJDG",-7.31327,72.411102
"Kasompe Airport","Kasompe","Zambia","","FLKE",-12.57279968,27.89389992
"Mongu Airport","Mongu","Zambia","","FLMG",-15.25450039,23.16230011
"Lobito Airport","Lobito","Angola","","FNLB",-12.37119961,13.53660011
"Lumbo Airport","Lumbo","Mozambique","","FQLU",-15.03310013,40.67169952
"Mueda Airport","Mueda","Mozambique","","FQMD",-11.6729002,39.56309891
"Marrupa Airport","Marrupa","Mozambique","","FQMR",-13.22509956,37.55210114
"Songo Airport","Songo","Mozambique","","FQSG",-15.60270023,32.77320099
"Ulongwe Airport","Ulongwe","Mozambique","","FQUG",-14.70460033,34.35240173
"Alphonse Airport","Alphonse","Seychelles","","FSAL",-7.00478,52.7262
"Farquhar Airport","Farquhar","Seychelles","","FSFA",-10.1096,51.176102
"Coetivy Airport","Coetivy","Seychelles","","FSSC",-7.13457,56.278198
"Charles Prince Airport","Harare","Zimbabwe","","FVCP",-17.75160027,30.92469978
"Mutoko Airport","Mutoko","Zimbabwe","","FVMT",-17.43190002,32.18450165
"Mutare Airport","Mutare","Zimbabwe","","FVMU",-18.99749947,32.62720108
"Zvishavane Airport","Zvishavane","Zimbabwe","","FVSH",-20.28949928,30.08819962
"Kasungu Airport","Kasungu","Malawi","","FWKG",-13.0145998,33.46860123
"Mejametalana Airbase","Maseru","Lesotho","","FXMU",-29.30410004,27.50349998
"Kitona Base Airport","Kitona Base","Congo (Kinshasa)","","FZAI",-5.918059826,12.44769955
"Kotakoli Airport","Kotakoli","Congo (Kinshasa)","","FZFP",4.15763998,21.65089989
"Buta Zega Airport","Buta Zega","Congo (Kinshasa)","","FZKJ",2.818350077,24.79369926
"Tessalit Airport","Tessalit","Mali","","GATS",20.24300003,0.9773079753
"Cufar Airport","Cufar","Guinea-Bissau","","GGCF",11.28789997,-15.18050003
"Ifrane Airport","Ifrane","Morocco","","GMFI",33.50529861,-5.152900219
"Ben Slimane Airport","Ben Slimane","Morocco","","GMMB",33.65539932,-7.221449852
"Bir Moghrein Airport","Bir Moghrein","Mauritania","","GQPT",25.23670006,-11.58870029
"Lideta Army Airport","Addis Ababa","Ethiopia","","HAAL",9.003685,38.725498
"Cairo West Airport","Cairo","Egypt","","HECW",30.11639977,30.91539955
"Kakamega Airport","Kakamega","Kenya","","HKKG",0.2713420093,34.78730011
"Naivasha Airport","Naivasha","Kenya","","HKNV",-0.7879530191,36.43349838
"Moi Air Base","Nairobi","Kenya","","HKRE",-1.277269959,36.86230087
"Bu Attifel Airport","Buattifel","Libya","","HLFL",28.79540062,22.08090019
"Warehouse 59e Airport","Giallo","Libya","","HLGL",28.63850021,21.43799973
"Marsa Brega Airport","Marsa Brega","Libya","","HLMB",30.37809944,19.57640076
"Ras Lanuf Oil Airport","Ras Lanouf V 40","Libya","","HLNF",30.5,18.5272007
"Hon Airport","Hon","Libya","","HLON",29.11009979,15.96560001
"Dahra Airport","Dahra","Libya","","HLRA",29.47260094,17.93490028
"Zella 74 Airport","Zella 74","Libya","","HLZA",28.58989906,17.29389954
"Damazin Airport","Damazin","Sudan","","HSDZ",11.78590012,34.33670044
"Kadugli Airport","Kadugli","Sudan","","HSLI",11.13799953,29.7010994
"Stara Zagora Airport","Stara Zagora","Bulgaria","","LBSZ",42.3766667,25.655
"Osijek-Čepin Airfield","Cepin","Croatia","","LDOC",45.5427778,18.6319444
"Grobnicko Polje Airport","Grobnik","Croatia","","LDRG",45.37950134,14.50380039
"Varaždin Airport","Varazdin","Croatia","","LDVA",46.29464722,16.38293266
"Udbina Air Base","Udbina","Croatia","","LDZU",44.55759811,15.77439976
"Albacete-Los Llanos Airport","Albacete","Spain","","LEAB",38.94850159,-1.863520026
"Armilla Air Base","Granada","Spain","","LEGA",37.1332016,-3.63568997
"Getafe Air Base","Madrid","Spain","","LEGT",40.29410172,-3.723829985
"Ocaña Airport","Ocana","Spain","","LEOC",39.9375,-3.503329992
"Alcantarilla Air Base","Murcia","Spain","","LERI",37.951099,-1.23032
"Rota Naval Station Airport","Rota","Spain","","LERT",36.64519882,-6.349460125
"Son Bonet Airport","Son Bonet","Spain","","LESB",39.59889984,2.702780008
"San Luis Airport","San Luis","Spain","","LESL",39.86220169,4.258329868
"Péronne-Saint-Quentin Airport","Peronne","France","","LFAG",49.8685,3.02958
"Nangis-Les Loges Airport","Nangis","France","","LFAI",48.59619904,3.006789923
"Bagnoles-de-l'Orne-Couterne Airport","Bagnole-de-l'orne","France","","LFAO",48.54579926,-0.3874439895
"Albert-Bray Airport","Albert","France","","LFAQ",49.9715004,2.697659969
"Valenciennes-Denain Airport","Valenciennes","France","","LFAV",50.32580185,3.46126008
"Amiens-Glisy Airport","Amiens","France","","LFAY",49.8730011,2.387069941
"Cazaux (BA 120) Air Base","Cazaux","France","","LFBC",44.53329849,-1.125
"Toulouse-Francazal (BA 101) Air Base","Toulouse","France","","LFBF",43.54560089,1.367499948
"Mont-de-Marsan (BA 118) Air Base","Mont-de-marsan","France","","LFBM",43.911701,-0.5075
"Muret-Lherm Airport","La Rochelle","France","","LFBR",43.44889832,1.263329983
"Cahors-Lalbenque Airport","Cahors","France","","LFCC",44.35139847,1.475280046
"Saint-Girons-Antichan Airport","St.-girons","France","","LFCG",43.00780106,1.10315001
"Toulouse-Lasbordes Airport","Toulouse","France","","LFCL",43.58610153,1.499169946
"Millau-Larzac Airport","Millau","France","","LFCM",43.98929977,3.183000088
"Graulhet-Montdragon Airport","Graulhet","France","","LFCQ",43.77109909,2.010829926
"Ussel-Thalamy Airport","Ussel","France","","LFCU",45.53469849,2.423890114
"Villeneuve-sur-Lot Airport","Villeneuve-sur-lot","France","","LFCW",44.39690018,0.7588890195
"Mimizan Airport","Mimizan","France","","LFCZ",44.145928,-1.16432
"Aire-sur-l'Adour Airport","Aire-sur-l'adour","France","","LFDA",43.70940018,-0.2452780008
"Montauban Airport","Montauban","France","","LFDB",44.02569962,1.378039956
"Auch-Lamothe Airport","Auch","France","","LFDH",43.68780136,0.6016669869
"Libourne-Artigues-de-Lussac Airport","Libourne","France","","LFDI",44.982498,-0.134722
"Pamiers-Les Pujols Airport","Pamiers","France","","LFDJ",43.09059906,1.695829988
"Marmande-Virazeil Airport","Marmande","France","","LFDM",44.49890137,0.2005140036
"Pontivy Airport","Pontivy","France","","LFED",48.05849838,-2.921829939
"Aubigny-sur-Nère Airport","Aubigny-sur-nere","France","","LFEH",47.480556,2.394167
"Guiscriff Scaer Airport","Guiscriff-scaer","France","","LFES",48.05250168,-3.664720058
"Ancenis Airport","Ancenis","France","","LFFI",47.40810013,-1.17750001
"Brienne-le-Château Airport","Brienne-le Chateau","France","","LFFN",48.42979813,4.482220173
"Beaune-Challanges Airport","Beaune","France","","LFGF",47.005901,4.89342
"Joigny Airport","Joigny","France","","LFGK",47.99219894,3.39222002
"Verdun-Le Rozelier Airfield","Verdun","France","","LFGW",49.122398,5.46905
"Saint-Flour-Coltines Airport","St.-flour","France","","LFHQ",45.07640076,2.993609905
"Saint-Affrique-Belmont Airport","St.-afrique-belmont","France","","LFIF",43.82329941,2.745280027
"Cassagnes-Bégonhès Airport","Cassagnes-beghones","France","","LFIG",44.17779922,2.515000105
"Propriano Airport","Propriano","France","","LFKO",41.66059875,8.889749527
"Corte Airport","Corte","France","","LFKT",42.29359818,9.193059921
"Chambéry-Challes-les-Eaux Airport","Chambery","France","","LFLE",45.56110001,5.975759983
"Saint-Yan Airport","St.-yan","France","","LFLN",46.41249847,4.013259888
"Montluçon-Domérat Airport","Montlucon","France","","LFLT",46.352501,2.57049
"Le Luc-Le Cannet Airport","Le Luc","France","","LFMC",43.38470078,6.387139797
"Istres Le Tubé/Istres Air Base (BA 125) Airport","Istres","France","","LFMI",43.522701,4.92384
